City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Sibolga,ID,85.21,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
146,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
150,Berbera,SO,78.57,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
156,Hithadhoo,MV,83.82,scattered clouds,-0.6,73.0833,Scoop Guest House
158,Hobyo,SO,80.98,light rain,5.3505,48.5268,Iftin hotel hobyo
159,Etchoropo,MX,65.37,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
162,Mitsamiouli,KM,82.29,broken clouds,-11.3847,43.2844,Foyer ADM
164,Rodrigues Alves,BR,73.36,overcast clouds,-7.738,-72.6509,Pousada Aconchego
165,Nelson Bay,AU,76.08,light rain,-32.7167,152.15,Mantra Nelson Bay
167,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
170,Najran,SA,65.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
176,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
184,Sabancuy,MX,73.99,scattered clouds,18.9667,-91.1833,pulpo
185,Kaeo,NZ,72.32,few clouds,-35.1,173.7833,Bushido Lodge
188,Piacabucu,BR,77.47,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
190,Tumpat,MY,85.98,few clouds,6.1978,102.171,Baan Tanyong B&B
192,Atuona,PF,79.61,overcast clouds,-9.8,-139.0333,Villa Enata
195,Mangrol,IN,79.16,broken clouds,21.1167,70.1167,Hotel The Royal Honours
200,Kavieng,PG,84.96,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
203,Mumford,GH,80.13,overcast clouds,5.2618,-0.759,Spanish Villa
205,Victoria,HK,77.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
208,Porto Walter,BR,73.11,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
209,Nhulunbuy,AU,75.81,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
212,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
213,Dingle,PH,87.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
214,Santa Isabel Do Rio Negro,BR,75.34,overcast clouds,-0.4139,-65.0192,Hotel GSA
216,Lao Cai,VN,78.42,broken clouds,22.4833,103.95,Legend Hotel
219,Ko Samui,TH,89.51,scattered clouds,9.5357,99.9357,The Passage
220,Iranshahr,IR,68.34,clear sky,27.2025,60.6848,نیک سرشت
223,San Patricio,US,64.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
225,Vaitape,PF,81.59,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
227,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
228,Bredasdorp,ZA,62.62,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
229,Anshun,CN,73.44,clear sky,26.25,105.9333,安顺麦吉风格酒店
233,Launceston,AU,74.84,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
236,Harper,LR,79.16,few clouds,4.375,-7.7169,Screensaver
237,Baytown,US,61.11,clear sky,29.7355,-94.9774,Econo Lodge
238,Keti Bandar,PK,78.44,clear sky,24.1447,67.4497,Haji laloo memon house
240,Wonthaggi,AU,65.82,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
243,Naze,JP,68.92,overcast clouds,28.3667,129.4833,Shishime Hotel
247,Tarauaca,BR,73.72,overcast clouds,-8.1614,-70.7656,Flat Temporada
249,Arlit,NE,74.52,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
252,Sampit,ID,81.0,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
253,Hervey Bay,AU,78.22,few clouds,-25.2986,152.8535,Shelly Bay Resort
254,Eyl,SO,77.47,few clouds,7.9803,49.8164,Amiin Hotel
257,Salvador,SV,73.8,broken clouds,13.8333,-88.9167,Chico's Ranch
259,Lamu,KE,82.62,clear sky,-2.2717,40.902,Lamu House
260,Shingu,JP,60.26,broken clouds,33.7333,135.9833,Shingu UI Hotel
271,Rio Grande,BR,66.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
272,Tahoua,NE,77.09,clear sky,14.8888,5.2692,Bungalows Guesthouse
274,Kasongo,CD,67.93,light rain,-4.45,26.6667,Guest Hôtel
280,Port Blair,IN,86.04,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
286,Honiara,SB,82.94,broken clouds,-9.4333,159.95,Heritage Park Hotel
287,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
288,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
289,Xanxere,BR,60.71,overcast clouds,-26.8769,-52.4042,Center Hotel
290,Gangapur,IN,83.52,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
291,Soe,ID,79.95,heavy intensity rain,-9.8607,124.284,Dena Hotel
293,Minab,IR,79.02,clear sky,27.1467,57.0801,Bam campground
295,Hambantota,LK,82.09,few clouds,6.1241,81.1185,Bungalow 63
296,Saint George,US,72.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
