City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Komsomolskiy,UZ,40.4272,71.7189,41.72,75,11,4.61,few clouds
164,Rodrigues Alves,BR,-7.738,-72.6509,73.36,98,100,2.33,overcast clouds
165,Nelson Bay,AU,-32.7167,152.15,76.08,70,83,3.0,light rain
166,Amurzet,RU,47.6967,131.0981,32.61,100,100,9.73,light snow
167,Puerto Colombia,CO,10.9878,-74.9547,78.89,82,96,27.45,overcast clouds
168,Ponta Delgada,PT,37.7333,-25.6667,59.72,82,75,20.71,broken clouds
169,Flin Flon,CA,54.7682,-101.865,19.9,83,100,17.6,overcast clouds
170,Najran,SA,17.4924,44.1277,65.05,38,0,4.03,clear sky
171,Platanos,GR,37.6667,21.6167,47.57,66,0,4.18,clear sky
172,Lerwick,GB,60.1545,-1.1494,46.4,91,99,18.5,overcast clouds
173,Shalakusha,RU,62.2247,40.2539,7.75,98,87,1.3,overcast clouds
174,Egvekinot,RU,66.3167,-179.1667,4.68,83,0,1.92,clear sky
175,Constantine,DZ,36.365,6.6147,47.61,76,0,6.91,clear sky
176,Avarua,CK,-21.2078,-159.775,78.85,89,100,3.44,overcast clouds
177,Mayya,RU,61.7333,130.2811,15.12,87,95,4.0,overcast clouds
178,Chuy,UY,-33.6971,-53.4616,55.83,70,8,6.49,clear sky
179,Ust-Nera,RU,64.5667,143.2,6.94,87,86,4.21,overcast clouds
180,Sioux Lookout,CA,50.1001,-91.917,32.07,80,20,4.61,few clouds
181,Shahr-E Kord,IR,32.3256,50.8644,46.17,19,0,18.41,clear sky
182,Port-Cartier,CA,50.0334,-66.8654,28.51,98,100,7.92,snow
183,Airai,TL,-8.9266,125.4092,73.58,63,50,1.77,scattered clouds
184,Sabancuy,MX,18.9667,-91.1833,73.99,66,47,14.43,scattered clouds
185,Kaeo,NZ,-35.1,173.7833,72.32,77,15,14.61,few clouds
186,Bedele,ET,8.456,36.353,52.92,91,27,2.21,scattered clouds
187,Pinawa,CA,50.1489,-95.8811,36.61,96,100,11.97,overcast clouds
188,Piacabucu,BR,-10.4056,-36.4344,77.47,77,43,5.48,scattered clouds
189,Aklavik,CA,68.2191,-135.0107,-0.26,92,75,11.81,broken clouds
190,Tumpat,MY,6.1978,102.171,85.98,79,20,4.61,few clouds
191,Beringovskiy,RU,63.05,179.3167,20.16,92,100,4.7,light snow
192,Atuona,PF,-9.8,-139.0333,79.61,78,98,18.57,overcast clouds
193,Kutum,SD,14.2,24.6667,57.47,22,12,8.32,few clouds
194,Muroto,JP,33.2833,134.15,59.92,60,41,3.31,scattered clouds
195,Mangrol,IN,21.1167,70.1167,79.16,61,63,7.4,broken clouds
196,Smithers,CA,54.7804,-127.1743,43.12,36,100,4.61,overcast clouds
197,Lillooet,CA,50.6856,-121.942,39.18,87,100,3.11,overcast clouds
198,Umea,SE,63.8284,20.2597,30.13,100,75,3.44,snow
199,Lyndon,US,38.2567,-85.6016,47.55,64,100,8.05,overcast clouds
200,Kavieng,PG,-2.5744,150.7967,84.96,63,88,5.46,overcast clouds
201,Severo-Kurilsk,RU,50.6789,156.125,30.24,66,75,10.96,broken clouds
202,Show Low,US,34.2542,-110.0298,46.69,28,0,0.0,clear sky
203,Mumford,GH,5.2618,-0.759,80.13,86,94,7.83,overcast clouds
204,Gazanjyk,TM,39.2446,55.5154,49.77,71,98,4.7,overcast clouds
205,Victoria,HK,22.2855,114.1577,77.97,94,94,23.0,overcast clouds
206,Greenwood,US,34.1668,-82.1165,57.56,63,0,5.75,clear sky
207,Fortuna,US,40.5982,-124.1573,49.93,93,100,5.75,overcast clouds
208,Porto Walter,BR,-8.2686,-72.7439,73.11,98,95,2.35,overcast clouds
209,Nhulunbuy,AU,-12.2333,136.7667,75.81,100,100,8.05,moderate rain
210,Mattawa,US,46.7379,-119.9028,54.01,28,32,10.0,scattered clouds
211,Gorele,TR,41.0308,39.0031,38.16,88,97,3.6,overcast clouds
212,Georgetown,MY,5.4112,100.3354,89.53,79,20,5.75,few clouds
213,Dingle,PH,10.9995,122.6711,87.87,59,98,12.08,overcast clouds
214,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.34,92,89,2.33,overcast clouds
215,Parry Sound,CA,45.3501,-80.033,39.25,100,100,8.01,overcast clouds
216,Lao Cai,VN,22.4833,103.95,78.42,70,54,1.07,broken clouds
217,Poum,NC,-20.2333,164.0167,81.07,71,40,3.36,scattered clouds
218,Buraydah,SA,26.326,43.975,55.85,29,0,8.37,clear sky
219,Ko Samui,TH,9.5357,99.9357,89.51,66,40,0.0,scattered clouds
220,Iranshahr,IR,27.2025,60.6848,68.34,18,0,4.61,clear sky
221,Tessalit,ML,20.1986,1.0114,77.38,10,22,8.63,few clouds
222,Erenhot,CN,43.6475,111.9767,38.37,25,82,9.93,broken clouds
223,San Patricio,US,28.017,-97.5169,64.83,35,0,8.43,clear sky
224,Kenai,US,60.5544,-151.2583,40.03,62,100,25.32,overcast clouds
225,Vaitape,PF,-16.5167,-151.75,81.59,73,22,13.4,few clouds
226,Sudislavl,RU,57.8817,41.7083,28.94,87,100,9.33,overcast clouds
227,Cartagena,CO,10.3997,-75.5144,78.42,83,0,8.05,clear sky
228,Bredasdorp,ZA,-34.5322,20.0403,62.62,64,100,12.82,overcast clouds
229,Anshun,CN,26.25,105.9333,73.44,40,0,13.47,clear sky
230,Srednekolymsk,RU,67.45,153.6833,9.63,86,100,7.07,overcast clouds
231,Ivanovka,KG,42.8878,75.085,35.74,93,98,5.79,overcast clouds
232,Griffith,US,41.5284,-87.4237,41.4,93,100,11.5,light intensity drizzle
233,Launceston,AU,-41.45,147.1667,74.84,33,32,4.61,scattered clouds
234,Oranjemund,NA,-28.55,16.4333,59.16,97,8,8.43,clear sky
235,Aripuana,BR,-9.1667,-60.6333,73.11,98,100,1.59,overcast clouds
236,Harper,LR,4.375,-7.7169,79.16,88,19,3.69,few clouds
237,Baytown,US,29.7355,-94.9774,61.11,57,0,3.31,clear sky
238,Keti Bandar,PK,24.1447,67.4497,78.44,68,0,9.1,clear sky
239,Constitucion,CL,-35.3333,-72.4167,55.81,62,0,6.31,clear sky
240,Wonthaggi,AU,-38.6044,145.5913,65.82,58,2,7.65,clear sky
241,Narsaq,GL,60.9167,-46.05,35.82,68,100,6.89,overcast clouds
242,Tiznit,MA,29.5833,-9.5,52.02,86,64,6.55,broken clouds
243,Naze,JP,28.3667,129.4833,68.92,70,98,20.96,overcast clouds
244,Uusikaupunki,FI,60.8004,21.4084,35.13,90,100,5.21,overcast clouds
245,Imeni Poliny Osipenko,RU,52.4201,136.4853,27.46,91,100,4.23,overcast clouds
246,Adrar,MR,20.5022,-10.0711,62.29,33,0,11.03,clear sky
247,Tarauaca,BR,-8.1614,-70.7656,73.72,99,100,2.3,overcast clouds
248,Huambo,AO,-12.7761,15.7392,57.94,96,100,0.69,overcast clouds
249,Arlit,NE,18.7369,7.3853,74.52,14,76,10.47,broken clouds
250,Lavrentiya,RU,65.5833,-171.0,5.83,90,100,3.96,overcast clouds
251,Spassk,RU,52.747,87.7545,23.02,92,100,11.92,light snow
252,Sampit,ID,-2.5333,112.95,81.0,88,94,2.28,light rain
253,Hervey Bay,AU,-25.2986,152.8535,78.22,55,11,4.99,few clouds
254,Eyl,SO,7.9803,49.8164,77.47,75,20,9.24,few clouds
255,Voyvozh,RU,62.892,54.9635,13.77,92,100,11.34,overcast clouds
